0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.010000 -0.026756 -0.038754 0.038361 0.082547 0.019961 -0.051786 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.020000 -0.059168 -0.085702 0.084834 0.182547 0.044142 -0.114520 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.030000 -0.091581 -0.132650 0.131306 0.282547 0.068323 -0.177255 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.040000 -0.123993 -0.179598 0.177779 0.382547 0.092504 -0.239990 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.050000 -0.156406 -0.226546 0.224251 0.482547 0.116685 -0.302725 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.060000 -0.188819 -0.273494 0.270724 0.582547 0.140866 -0.365460 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.070000 -0.221231 -0.320442 0.317196 0.682547 0.165047 -0.428195 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.080000 -0.253644 -0.367390 0.363668 0.782547 0.189228 -0.490930 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.090000 -0.286057 -0.414338 0.410141 0.882547 0.213409 -0.553664 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.100000 -0.318469 -0.461286 0.456613 0.982547 0.237590 -0.616399 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.110000 -0.350882 -0.508234 0.503086 1.082547 0.261771 -0.679134 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.120000 -0.383294 -0.555182 0.549558 1.182547 0.285952 -0.741869 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.130000 -0.415707 -0.602130 0.596031 1.282547 0.310133 -0.804604 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.140000 -0.448120 -0.649078 0.642503 1.382547 0.334314 -0.867339 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.150000 -0.480532 -0.696026 0.688976 1.482547 0.358495 -0.930074 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.160000 -0.512945 -0.742974 0.735448 1.582547 0.382676 -0.992809 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.170000 -0.545358 -0.789922 0.781920 1.682547 0.406858 -1.055543 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.180000 -0.577770 -0.836870 0.828393 1.782547 0.431039 -1.118278 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.190000 -0.610183 -0.883818 0.874865 1.882547 0.455220 -1.181013 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.200000 -0.642595 -0.930766 0.921338 1.982548 0.479401 -1.243748 -3.241262 -4.694799 4.647243 10.000004 2.418105 -6.273487 
0.210000 -0.675053 -0.977786 0.967880 2.082547 0.524319 -1.306612 -3.262418 -4.729591 4.681237 10.000004 10.000004 -6.337437 
0.220000 -0.707938 -1.025511 1.015112 2.182547 0.624319 -1.370774 -3.314547 -4.815323 4.765006 10.000004 10.000004 -6.494962 
0.230000 -0.741344 -1.074093 1.063180 2.282547 0.724319 -1.436511 -3.366675 -4.901054 4.848775 10.000004 10.000004 -6.652488 
0.240000 -0.775271 -1.123532 1.112087 2.382547 0.824319 -1.503824 -3.418803 -4.986786 4.932543 10.000004 10.000004 -6.810013 
0.250000 -0.809720 -1.173828 1.161831 2.482547 0.924320 -1.572711 -3.470931 -5.072517 5.016312 10.000004 10.000004 -6.967539 
